t,ax,ay,az,gx,gy,gz,mx,my,mz,temp,src
3.14493,-2.45617,6.12280,-2.68190,97.60519,18.61977,4.29804,40.84731,-6.62077,4.98994,28.85352,comp
3.16908,-5.70617,8.01538,0.09154,151.54269,12.88930,14.61054,40.09242,-6.99943,7.42744,28.88086,comp
3.18501,-5.74554,8.18469,-1.57741,150.63107,-14.01695,-28.82696,39.70985,-7.02013,9.04853,28.84570,comp
3.20901,-1.06976,9.39075,-1.37502,90.91232,-17.62047,-69.26446,40.05507,-7.40733,11.47041,28.84375,comp
3.22492,-2.41839,12.92786,-5.00197,38.03732,1.89516,-60.43633,40.03227,-5.67491,12.24482,28.86133,comp
3.24897,-1.73431,12.19055,-2.87306,113.91232,71.27016,-16.99883,40.02106,-5.69232,13.46162,28.82812,comp
3.26729,-7.34368,9.86438,-3.54250,117.84592,59.02797,9.54804,38.53669,-5.70492,15.08857,28.90430,comp
3.28892,-6.66741,10.05200,-2.09621,116.22775,46.53578,9.05195,38.53826,-6.40854,15.50337,28.84961,comp
3.30485,-2.92327,9.23316,-2.25221,93.75900,30.48891,-2.51836,37.43768,-7.45834,16.33882,28.88281,comp
3.32911,-2.08099,6.34448,-3.04274,85.47775,41.08266,-16.06524,37.40124,-6.45248,19.14741,28.89258,comp
3.34497,-4.34075,8.15112,-2.16286,79.70041,57.87953,-18.75665,35.91882,-6.46456,20.78901,28.85547,comp
3.36960,-6.22650,9.44019,-3.32887,45.16916,33.05141,-2.85821,37.02428,-7.17110,20.78116,28.87500,comp
3.38491,-7.03558,8.38843,-0.25856,13.18478,20.91078,-41.98321,35.91686,-6.81979,21.19059,28.86328,comp
3.40921,-5.69280,9.80542,-3.05739,-69.44022,128.28578,-182.60821,35.90014,-5.78463,21.97721,28.85352,comp
3.44149,0.76032,8.61987,-7.25661,-19.44022,122.64906,-176.13555,37.36498,-4.74264,21.55753,28.84375,comp
3.44908,-1.56976,8.15332,-5.18239,254.80978,43.96156,-87.94805,37.39007,-3.99801,18.30167,28.87500,comp
3.46523,-5.31647,5.55684,-2.80916,255.81059,32.45303,-90.84315,34.76925,-2.99644,22.76121,28.90820,full
3.48912,-4.51423,6.54659,-5.97518,255.31889,31.95449,-94.63612,33.24874,-0.94566,26.38035,28.89844,comp
3.50511,-4.92316,4.34737,-4.85018,304.69389,31.45108,-110.01894,30.25265,-0.30796,32.05223,28.87500,comp
3.52899,-4.66413,4.41957,-4.30770,291.15483,25.22451,-124.39394,28.76632,0.02871,33.68211,28.86523,comp
3.54504,-4.15876,3.47963,-5.05232,291.65483,-1.00986,-109.26112,25.41476,1.04140,37.73680,28.81055,comp
3.56918,-2.30817,2.53041,-6.35213,264.35796,-12.50986,-67.22987,22.81124,2.42128,40.17039,28.85352,comp
3.58615,-6.01325,1.59438,-6.32959,242.99858,-31.11924,22.20763,18.38546,2.41934,42.63914,28.87500,comp
3.60913,-8.24177,1.16249,-8.02100,211.62358,-27.26377,68.86388,15.08663,3.15371,41.84080,28.86914,comp
3.63289,-8.01313,0.16249,-8.91358,159.65483,-39.04502,73.97716,11.40890,2.11172,43.50975,28.84570,comp
3.64905,-7.05756,-1.39317,-11.08740,94.40483,-51.43564,82.85997,9.58370,2.49234,42.31151,28.84570,comp
3.67297,-6.45991,-0.41954,-10.34815,-5.78267,-48.38486,111.78185,8.81954,4.21988,43.91307,28.84375,comp
3.68899,-7.87104,-0.04869,-9.33155,-99.53267,-65.10361,158.59435,9.96017,4.27053,39.86619,28.80859,comp
3.71294,-7.45331,1.48061,-8.49024,-163.12642,-74.80674,189.78185,11.41817,4.95169,40.25023,28.84180,comp
3.72900,-8.47675,3.16518,-8.37439,-223.03267,-106.22861,240.59435,15.80489,4.19094,42.24241,28.84375,comp
3.75299,-10.08710,4.79701,-9.97107,-286.56392,-114.70517,285.62560,21.32052,5.57962,39.72093,28.80859,comp
3.76926,-9.29218,5.99330,-8.91150,-328.34517,-91.51767,328.68810,23.21993,3.54251,34.87327,28.84375,comp
3.79318,-7.88984,6.14113,-8.42957,-369.59517,-64.73642,345.95372,29.84103,1.75344,34.43529,28.83008,comp
3.80907,-5.87031,4.78957,-7.40711,-362.33736,-27.64267,316.67247,32.48946,-0.61960,28.39232,28.85352,comp
3.83285,-2.61249,5.11696,-4.47742,-335.61861,2.26358,244.73497,35.84884,-3.73874,25.17943,28.85156,comp
3.84907,0.21758,7.12672,-3.85828,-310.05611,-7.43174,216.23497,37.75314,-6.82859,20.77708,28.83203,comp
3.87323,-0.99042,8.53786,-1.31922,-265.61861,-23.47861,202.74278,38.15939,-8.18601,17.97044,28.82031,comp
3.88907,-3.17988,6.29958,-2.90808,-280.50142,-13.72080,187.18810,38.60323,-11.25241,12.76732,28.82031,comp
3.91304,-1.35859,5.74294,-2.33240,-280.87032,23.56045,132.65685,39.35030,-10.88547,11.13939,28.81836,comp
3.92904,0.94610,6.31520,1.22815,-298.12032,11.55264,117.75841,39.40755,-12.92063,7.13939,28.84961,comp
3.95305,-0.44550,8.80739,0.85461,-308.92500,11.96109,114.83849,39.13070,-15.60813,0.32298,28.84375,comp
3.96956,1.58770,9.58376,1.64660,-285.19063,15.45523,135.58849,36.99203,-16.91086,-4.88014,28.80273,comp
3.99301,-1.53144,5.48219,2.93371,-263.06563,23.18570,146.50255,35.20394,-19.65305,-7.23757,28.84375,comp
4.00899,-1.78364,5.17018,2.09973,-310.19063,53.99820,110.09630,32.68636,-19.91159,-12.04616,28.87500,comp
4.03320,0.09332,5.38893,-0.54285,-311.94160,76.38882,77.09630,30.14925,-20.19968,-14.83913,28.85156,comp
4.04894,0.57378,4.82204,3.57043,-259.28535,91.95132,85.17442,29.10140,-21.17331,-19.25319,28.82422,comp
4.07314,0.91323,5.63094,5.65775,-256.69168,116.53574,108.94988,25.83681,-21.80478,-22.46302,28.82617,full
4.08881,0.90132,2.75398,9.33548,-250.77371,113.76621,99.47332,23.65907,-22.10752,-24.45423,28.83594,comp
4.11291,0.50533,4.22664,10.47415,-305.86746,100.93027,70.31707,16.74501,-21.61679,-30.44251,28.83984,comp
4.12923,2.36958,7.26375,7.26321,-282.82059,77.11777,61.44988,12.36610,-21.54788,-32.81947,28.79688,comp
4.15312,1.97578,5.42879,9.71048,-224.53934,69.94981,88.35613,9.08681,-20.78372,-35.62611,28.80469,comp
4.16898,-1.82890,3.09676,9.05862,-223.66678,84.04356,126.76238,7.60243,-19.73783,-34.82386,28.80273,comp
4.19297,-4.20781,0.90926,5.87894,-189.54178,120.79356,111.94988,4.32509,-20.73587,-36.36976,28.85352,comp
4.20899,-4.95683,-1.84465,8.59964,-120.97928,179.19981,86.40301,0.30165,-18.21634,-39.60023,28.84570,comp
4.23311,-4.84007,-0.80559,11.24417,-85.38553,204.57481,57.48113,-1.16612,-16.08743,-41.22425,28.78906,comp
