t,ax,ay,az,gx,gy,gz,mx,my,mz,temp
5.12954,-0.10404,0.34979,-9.78198,-0.03805,-0.00690,-0.02643,-9.86601,-34.94397,35.79115,28.67188
5.14596,-0.12311,0.35347,-9.79261,-0.03805,0.05410,0.03457,-10.59599,-33.87365,34.57240,28.66797
5.16954,-0.12069,0.33549,-9.79430,0.08396,-0.00690,-0.02643,-10.95805,-34.92248,34.99037,28.67969
5.19348,-0.10111,0.34010,-9.75945,-0.09902,-0.00690,0.03457,-9.12407,-34.93684,34.97718,28.63281
5.20938,-0.10757,0.34566,-9.79501,0.08396,-0.00690,-0.02643,-10.22075,-34.92257,34.58533,28.62109
5.22559,-0.12194,0.34804,-9.78609,-0.03805,-0.00690,0.09558,-10.95366,-35.97531,35.41004,28.69531
5.24940,-0.10819,0.34683,-9.79206,0.08396,0.05410,-0.02643,-9.86772,-34.94503,35.80823,28.68164
5.27349,-0.11170,0.33255,-9.80739,0.08396,-0.00690,0.03457,-10.59282,-34.92724,35.00354,28.61914
5.28977,-0.12498,0.34494,-9.76357,-0.09902,-0.00690,-0.02643,-10.23051,-34.23144,34.97753,28.68359
5.31351,-0.10525,0.35577,-9.78026,0.08396,-0.00690,-0.02643,-11.33989,-34.58960,36.20409,28.66992
5.32970,-0.09867,0.34381,-9.78320,-0.03805,-0.00690,-0.02643,-9.85454,-35.28051,34.98534,28.63086
5.35355,-0.11826,0.35595,-9.81519,0.02296,-0.00690,0.03457,-9.86412,-34.58862,35.37743,28.65625
5.36946,-0.10042,0.35940,-9.79451,-0.03805,0.05410,0.03457,-10.22545,-35.28344,35.39225,28.64453
5.39437,-0.11000,0.33192,-9.78198,-0.09908,-0.00690,0.03457,-10.59117,-34.92578,34.98747,28.67188
5.40950,-0.10343,0.34917,-9.78905,-0.03808,0.05413,-0.02643,-10.22423,-34.92857,34.98371,28.64844
5.43343,-0.09568,0.33179,-9.77016,-0.03808,0.05413,-0.02643,-9.86143,-34.93725,35.38312,28.65234
5.44953,-0.13138,0.34273,-9.80910,0.02296,0.05413,0.09558,-10.59532,-34.93167,35.39064,28.67578
5.47339,-0.11593,0.35824,-9.79743,0.02296,0.05413,0.03457,-11.33067,-35.63528,36.20949,28.63672
5.48981,-0.11001,0.32885,-9.77599,-0.09905,0.11514,-0.02646,-10.58702,-34.91995,34.58449,28.68359
5.51345,-0.10457,0.34338,-9.80974,0.02296,0.05413,-0.02646,-10.22423,-34.92864,34.98390,28.65234
5.52962,-0.11458,0.33144,-9.79373,-0.03805,0.05413,-0.02646,-10.60191,-34.58880,35.78859,28.66406
5.55347,-0.11773,0.35274,-9.77967,-0.03805,0.05413,0.03454,-9.86607,-34.94378,35.79232,28.68359
5.56940,-0.09874,0.34269,-9.78787,0.02296,0.11514,-0.02646,-10.96666,-34.93541,35.80359,28.65430
5.59403,-0.10759,0.32575,-9.77550,-0.03805,0.05416,0.03454,-9.85240,-35.98326,35.39441,28.63672
