t_s,u,gyro_dps
1.4640,0.0150,-4.60
1.4660,0.0160,-4.60
1.4680,0.0180,-4.60
1.4700,0.0200,-4.60
1.4720,0.0210,-4.60
1.4740,0.0230,-4.50
1.4760,0.0250,-4.60
1.4780,0.0260,-4.80
1.4800,0.0280,-4.90
1.4820,0.0300,-5.00
1.4840,0.0310,-5.00
1.4860,0.0330,-5.10
1.4880,0.0330,-4.30
1.4900,0.0340,-3.50
1.4920,0.0350,-3.00
1.4940,0.0350,-2.70
1.4960,0.0360,-2.50
1.4980,0.0370,-3.30
1.5000,0.0370,-3.90
1.5020,0.0380,-4.40
1.5040,0.0370,-4.60
1.5060,0.0370,-4.80
1.5080,0.0370,-5.10
1.5100,0.0360,-5.30
1.5120,0.0350,-5.50
1.5140,0.0340,-5.60
1.5160,0.0330,-5.60
1.5180,0.0320,-5.30
1.5200,0.0300,-5.00
1.5220,0.0280,-4.70
1.5240,0.0260,-4.60
1.5260,0.0250,-4.50
1.5280,0.0230,-4.70
1.5300,0.0220,-5.00
1.5320,0.0200,-5.10
1.5340,0.0180,-5.30
1.5360,0.0170,-5.30
1.5380,0.0150,-4.90
1.5400,0.0130,-4.50
1.5420,0.0120,-4.20
1.5440,0.0110,-4.00
1.5460,0.0100,-3.90
1.5480,0.0090,-3.80
1.5500,0.0080,-3.70
1.5520,0.0080,-3.60
1.5540,0.0080,-3.60
1.5560,0.0080,-3.60
1.5580,0.0080,-4.00
1.5600,0.0090,-4.70
1.5620,0.0100,-5.30
1.5640,0.0110,-5.60
1.5660,0.0120,-5.80
1.5680,0.0140,-6.00
1.5700,0.0150,-6.20
1.5720,0.0170,-6.40
1.5740,0.0180,-6.40
1.5760,0.0200,-6.50
1.5780,0.0220,-6.50
1.5800,0.0240,-6.30
1.5820,0.0250,-6.10
1.5840,0.0270,-6.00
1.5860,0.0290,-5.90
1.5880,0.0300,-5.70
1.5900,0.0320,-5.10
1.5920,0.0330,-4.70
1.5940,0.0340,-4.50
1.5960,0.0350,-4.30
1.5980,0.0360,-4.30
1.6000,0.0370,-4.40
1.6020,0.0380,-4.50
1.6040,0.0380,-4.50
1.6060,0.0390,-4.60
1.6080,0.0390,-4.60
1.6100,0.0390,-4.70
1.6120,0.0380,-4.80
1.6140,0.0380,-4.90
1.6160,0.0370,-4.90
1.6180,0.0360,-4.90
1.6200,0.0340,-4.90
1.6220,0.0330,-4.80
1.6240,0.0310,-4.80
1.6260,0.0300,-4.70
1.6280,0.0280,-4.70
1.6300,0.0260,-5.30
1.6320,0.0250,-5.80
1.6340,0.0230,-6.10
1.6360,0.0210,-6.30
1.6380,0.0200,-6.40
1.6400,0.0180,-6.20
1.6420,0.0160,-5.90
1.6440,0.0150,-5.70
1.6460,0.0130,-5.60
1.6480,0.0120,-5.50
1.6500,0.0110,-5.30
1.6520,0.0100,-4.90
1.6540,0.0090,-4.70
1.6560,0.0090,-4.50
1.6580,0.0090,-4.40
1.6600,0.0090,-4.40
1.6620,0.0100,-4.40
1.6640,0.0100,-4.40
1.6660,0.0110,-4.40
1.6680,0.0120,-4.30
1.6700,0.0140,-4.50
1.6720,0.0160,-5.10
1.6740,0.0170,-5.40
1.6760,0.0190,-5.70
1.6780,0.0210,-5.80
1.6800,0.0230,-6.20
1.6820,0.0260,-6.90
1.6840,0.0280,-7.30
1.6860,0.0300,-7.60
1.6880,0.0320,-7.80
1.6900,0.0330,-7.70
1.6920,0.0350,-7.50
1.6940,0.0360,-7.30
1.6960,0.0380,-7.10
1.6980,0.0390,-7.10
1.7000,0.0390,-6.60
1.7020,0.0400,-5.90
1.7040,0.0400,-5.40
1.7060,0.0400,-5.00
1.7080,0.0390,-4.80
1.7100,0.0390,-4.90
1.7120,0.0380,-5.20
1.7140,0.0380,-5.50
1.7160,0.0370,-5.70
1.7180,0.0360,-5.80
1.7200,0.0340,-5.80
1.7220,0.0330,-5.40
1.7240,0.0310,-5.10
1.7260,0.0290,-4.90
1.7280,0.0270,-4.70
1.7300,0.0250,-4.70
1.7320,0.0240,-4.60
1.7340,0.0220,-4.60
1.7360,0.0200,-4.60
1.7380,0.0190,-4.60
1.7400,0.0170,-4.50
1.7420,0.0160,-3.90
1.7440,0.0140,-3.30
1.7460,0.0130,-2.90
1.7480,0.0130,-2.60
1.7500,0.0120,-2.40
1.7520,0.0120,-2.90
1.7540,0.0120,-3.30
1.7560,0.0120,-3.50
1.7580,0.0130,-3.70
1.7600,0.0140,-3.80
1.7620,0.0150,-4.70
1.7640,0.0160,-5.50
1.7660,0.0180,-6.00
1.7680,0.0190,-6.30
1.7700,0.0210,-6.50
1.7720,0.0220,-6.50
1.7740,0.0230,-6.40
1.7760,0.0250,-6.30
1.7780,0.0260,-6.30
1.7800,0.0280,-6.30
1.7820,0.0290,-5.90
1.7840,0.0300,-5.50
1.7860,0.0320,-5.30
1.7880,0.0330,-5.10
1.7900,0.0330,-5.00
1.7920,0.0340,-4.70
1.7940,0.0350,-4.40
1.7960,0.0350,-4.20
1.7980,0.0350,-4.10
1.8000,0.0350,-4.00
1.8020,0.0350,-3.80
1.8040,0.0350,-3.60
1.8060,0.0340,-3.40
1.8080,0.0330,-3.30
1.8100,0.0320,-3.20
1.8120,0.0310,-3.00
1.8140,0.0300,-2.50
1.8160,0.0290,-2.30
1.8180,0.0280,-2.10
1.8200,0.0270,-2.00
1.8220,0.0260,-2.40
1.8240,0.0250,-3.20
1.8260,0.0240,-3.80
1.8280,0.0230,-4.10
1.8300,0.0220,-4.40
1.8320,0.0210,-4.50
1.8340,0.0200,-4.80
1.8360,0.0200,-4.90
1.8380,0.0190,-5.10
1.8400,0.0190,-5.10
1.8420,0.0190,-5.00
1.8440,0.0180,-4.70
1.8460,0.0180,-4.40
1.8480,0.0180,-4.20
1.8500,0.0180,-4.10
1.8520,0.0190,-3.80
1.8540,0.0190,-3.10
1.8560,0.0190,-2.50
1.8580,0.0200,-2.10
1.8600,0.0210,-1.80
1.8620,0.0210,-1.70
1.8640,0.0220,-2.10
1.8660,0.0240,-2.40
1.8680,0.0250,-2.70
1.8700,0.0260,-2.80
1.8720,0.0270,-2.90
1.8740,0.0270,-3.00
1.8760,0.0280,-3.10
1.8780,0.0290,-3.20
1.8800,0.0300,-3.20
1.8820,0.0300,-3.30
1.8840,0.0300,-3.00
1.8860,0.0300,-2.80
1.8880,0.0300,-2.70
1.8900,0.0300,-2.70
1.8920,0.0300,-2.60
1.8940,0.0300,-2.40
1.8960,0.0290,-2.20
1.8980,0.0290,-2.10
1.9000,0.0280,-2.00
1.9020,0.0280,-2.00
1.9040,0.0270,-2.00
1.9060,0.0270,-2.10
